_ZN8Object966createEv kind:function(arm,size=0x38) addr:0x02126a00
func_ov034_02129790 kind:function(arm,size=0x1c) addr:0x02129790
data_ov034_021297ac kind:data(any) addr:0x021297ac
data_ov034_021297b0 kind:data(any) addr:0x021297b0
data_ov034_021297b4 kind:data(any) addr:0x021297b4
data_ov034_021297b8 kind:data(any) addr:0x021297b8
data_ov034_021297bc kind:data(any) addr:0x021297bc
data_ov034_021297c8 kind:data(any) addr:0x021297c8
data_ov034_021297d4 kind:data(any) addr:0x021297d4
data_ov034_021297e0 kind:data(any) addr:0x021297e0
data_ov034_021297fc kind:data(any) addr:0x021297fc
data_ov034_02129800 kind:data(any) addr:0x02129800
data_ov034_02129808 kind:data(any) addr:0x02129808
data_ov034_02129810 kind:data(any) addr:0x02129810
data_ov034_02129818 kind:data(any) addr:0x02129818
data_ov034_02129820 kind:data(any) addr:0x02129820
data_ov034_02129828 kind:data(any) addr:0x02129828
data_ov034_02129834 kind:data(any) addr:0x02129834
data_ov034_02129840 kind:data(any) addr:0x02129840
__sinit_ov034_0212985c kind:function(arm,size=0xe4) addr:0x0212985c
.p__sinit_ov034_0212985c kind:data(word) addr:0x02129940
data_ov034_02129960 kind:data(any) addr:0x02129960
data_ov034_02129968 kind:data(any) addr:0x02129968
data_ov034_02129970 kind:data(any) addr:0x02129970
data_ov034_02129978 kind:data(any) addr:0x02129978
data_ov034_02129980 kind:data(any) addr:0x02129980
data_ov034_02129988 kind:data(any) addr:0x02129988
data_ov034_02129990 kind:data(any) addr:0x02129990
data_ov034_02129998 kind:data(any) addr:0x02129998
data_ov034_021299a0 kind:data(any) addr:0x021299a0
data_ov034_021299b4 kind:data(any) addr:0x021299b4
data_ov034_02129ac0 kind:data(any) addr:0x02129ac0
data_ov034_02129b28 kind:data(any) addr:0x02129b28
data_ov034_02129b3c kind:data(any) addr:0x02129b3c
data_ov034_02129c60 kind:bss addr:0x02129c60
data_ov034_02129c64 kind:bss addr:0x02129c64
data_ov034_02129c6c kind:bss addr:0x02129c6c
data_ov034_02129c74 kind:bss addr:0x02129c74
data_ov034_02129c7c kind:bss addr:0x02129c7c
data_ov034_02129c84 kind:bss addr:0x02129c84
data_ov034_02129c8c kind:bss addr:0x02129c8c
data_ov034_02129c94 kind:bss addr:0x02129c94
data_ov034_02129c9c kind:bss addr:0x02129c9c
data_ov034_02129ca4 kind:bss addr:0x02129ca4
data_ov034_02129cac kind:bss addr:0x02129cac
data_ov034_02129cb4 kind:bss addr:0x02129cb4
data_ov034_02129cbc kind:bss addr:0x02129cbc
data_ov034_02129cc4 kind:bss addr:0x02129cc4
